scenario,protocol,rtt_ms,capacity_mbps,packet_loss_rate,traffic_mode,packet_size_bytes,min_send_interval_ms,max_send_interval_ms,mean_send_interval_ms,offered_load_mbps,file_size_mb,estimated_file_transfer_time_s,duration_s,throughput_mbps,status,command
rtt-80,QUIC_BBR,80.0,0.2,0.1,quic-bulksend,1448,1.0,10.0,5.5,2.106181818181818,10.0,961.5696663233061,3.0,0.0831973,ok,cd /Users/xuweicheng/ns-allinone-3.32/ns-3.32 && /Users/xuweicheng/ns-allinone-3.32/ns-3.32/build/contrib/quic/examples/ns3.32-quic-variants-comparison-bulksend-debug --transport_prot=QuicBbr --bandwidth=0.2Mbps --delay=40.000000ms --access_delay=0ms --error_p=0.1 --data=10 --duration=3
rtt-80,TCP_CUBIC,80.0,0.2,0.15,bulk,1448,1.0,10.0,5.5,2.106181818181818,10.0,,3.0,0.0,ok,cd /Users/xuweicheng/ns-3-dev && /Users/xuweicheng/ns-3-dev/build/scratch/ns3-dev-tcp-exp-default --tcpType=ns3::TcpCubic --accessDelay=0ms --egressDelay=0ms --bottleneckRate=0.2Mbps --bottleneckDelay=40.000000ms --bottleneckLoss=0.15 --trafficMode=bulk --segmentSize=1448 --minSendIntervalMs=1 --maxSendIntervalMs=10 --maxApplicationBytes=10000000 --stopTime=4
rtt-80,TCP_BBR,80.0,0.2,0.15,bulk,1448,1.0,10.0,5.5,2.106181818181818,10.0,,3.0,0.0,ok,cd /Users/xuweicheng/ns-3-dev && /Users/xuweicheng/ns-3-dev/build/scratch/ns3-dev-tcp-exp-default --tcpType=ns3::TcpBbr --accessDelay=0ms --egressDelay=0ms --bottleneckRate=0.2Mbps --bottleneckDelay=40.000000ms --bottleneckLoss=0.15 --trafficMode=bulk --segmentSize=1448 --minSendIntervalMs=1 --maxSendIntervalMs=10 --maxApplicationBytes=10000000 --stopTime=4
rtt-80,QUIC_BBR,80.0,0.2,0.15,quic-bulksend,1448,1.0,10.0,5.5,2.106181818181818,10.0,,3.0,0.0,ok,cd /Users/xuweicheng/ns-allinone-3.32/ns-3.32 && /Users/xuweicheng/ns-allinone-3.32/ns-3.32/build/contrib/quic/examples/ns3.32-quic-variants-comparison-bulksend-debug --transport_prot=QuicBbr --bandwidth=0.2Mbps --delay=40.000000ms --access_delay=0ms --error_p=0.15 --data=10 --duration=3
rtt-80,TCP_CUBIC,80.0,0.3,0.001,bulk,1448,1.0,10.0,5.5,2.106181818181818,10.0,215.81491712707182,3.0,0.370688,ok,cd /Users/xuweicheng/ns-3-dev && /Users/xuweicheng/ns-3-dev/build/scratch/ns3-dev-tcp-exp-default --tcpType=ns3::TcpCubic --accessDelay=0ms --egressDelay=0ms --bottleneckRate=0.3Mbps --bottleneckDelay=40.000000ms --bottleneckLoss=0.001 --trafficMode=bulk --segmentSize=1448 --minSendIntervalMs=1 --maxSendIntervalMs=10 --maxApplicationBytes=10000000 --stopTime=4
rtt-80,TCP_BBR,80.0,0.3,0.001,bulk,1448,1.0,10.0,5.5,2.106181818181818,10.0,215.81491712707182,3.0,0.370688,ok,cd /Users/xuweicheng/ns-3-dev && /Users/xuweicheng/ns-3-dev/build/scratch/ns3-dev-tcp-exp-default --tcpType=ns3::TcpBbr --accessDelay=0ms --egressDelay=0ms --bottleneckRate=0.3Mbps --bottleneckDelay=40.000000ms --bottleneckLoss=0.001 --trafficMode=bulk --segmentSize=1448 --minSendIntervalMs=1 --maxSendIntervalMs=10 --maxApplicationBytes=10000000 --stopTime=4
rtt-80,QUIC_BBR,80.0,0.3,0.001,quic-bulksend,1448,1.0,10.0,5.5,2.106181818181818,10.0,369.87720076934454,3.0,0.216288,ok,cd /Users/xuweicheng/ns-allinone-3.32/ns-3.32 && /Users/xuweicheng/ns-allinone-3.32/ns-3.32/build/contrib/quic/examples/ns3.32-quic-variants-comparison-bulksend-debug --transport_prot=QuicBbr --bandwidth=0.3Mbps --delay=40.000000ms --access_delay=0ms --error_p=0.001 --data=10 --duration=3
rtt-80,TCP_CUBIC,80.0,0.3,0.02,bulk,1448,1.0,10.0,5.5,2.106181818181818,10.0,232.7888982974402,3.0,0.343659,ok,cd /Users/xuweicheng/ns-3-dev && /Users/xuweicheng/ns-3-dev/build/scratch/ns3-dev-tcp-exp-default --tcpType=ns3::TcpCubic --accessDelay=0ms --egressDelay=0ms --bottleneckRate=0.3Mbps --bottleneckDelay=40.000000ms --bottleneckLoss=0.02 --trafficMode=bulk --segmentSize=1448 --minSendIntervalMs=1 --maxSendIntervalMs=10 --maxApplicationBytes=10000000 --stopTime=4
rtt-80,TCP_BBR,80.0,0.3,0.02,bulk,1448,1.0,10.0,5.5,2.106181818181818,10.0,647.4430047829852,3.0,0.123563,ok,cd /Users/xuweicheng/ns-3-dev && /Users/xuweicheng/ns-3-dev/build/scratch/ns3-dev-tcp-exp-default --tcpType=ns3::TcpBbr --accessDelay=0ms --egressDelay=0ms --bottleneckRate=0.3Mbps --bottleneckDelay=40.000000ms --bottleneckLoss=0.02 --trafficMode=bulk --segmentSize=1448 --minSendIntervalMs=1 --maxSendIntervalMs=10 --maxApplicationBytes=10000000 --stopTime=4
rtt-80,QUIC_BBR,80.0,0.3,0.02,quic-bulksend,1448,1.0,10.0,5.5,2.106181818181818,10.0,409.86336180175937,3.0,0.195187,ok,cd /Users/xuweicheng/ns-allinone-3.32/ns-3.32 && /Users/xuweicheng/ns-allinone-3.32/ns-3.32/build/contrib/quic/examples/ns3.32-quic-variants-comparison-bulksend-debug --transport_prot=QuicBbr --bandwidth=0.3Mbps --delay=40.000000ms --access_delay=0ms --error_p=0.02 --data=10 --duration=3
